,bytes,packets,protocol,source IP,source domain name,source port,destination IP,destination domain name,destination port,timestamp
0,7665.4,6,66,211.179.156.146,pandora-charms.us,443,227.38.217.184,cialisg8.com,443,2020-06-23 11:00:01.129
1,22813.0,16,84,157.146.177.155,loveinq.com,443,177.147.181.187,sting.co,80,2020-06-23 11:00:02.170
2,3455.4,3,109,185.104.138.123,austhrutime.com,80,139.5.237.69,dperezphoto.com,80,2020-06-23 11:00:10.796
3,10909.5,8,85,199.155.58.82,mysteriesofcanada.com,80,218.251.214.210,maxxis.co.uk,443,2020-06-23 11:00:12.898
4,21512.6,15,41,242.30.104.243,demographix.com,80,211.179.156.146,pandora-charms.us,80,2020-06-23 11:00:15.205
5,14302.0,10,63,43.29.3.187,lowest-pricecialis-buy.net,80,58.14.191.194,under-armour-stock.us,443,2020-06-23 11:00:17.354
6,24090.3,17,142,83.35.155.191,hopitaldufutur.org,8888,134.64.24.204,zakatkedah.com.my,443,2020-06-23 11:00:20.667
7,16462.1,11,40,155.193.63.242,adrc.com,1495,25.17.222.25,dtrm.de,2099,2020-06-23 11:00:20.692
8,23908.5,16,35,56.183.89.166,wholesalejerseysnflforcheapest.com,80,235.91.228.128,produceforkids.com,443,2020-06-23 11:00:23.428
9,6363.0,5,118,91.159.125.254,propertihemat.com,3383,21.8.164.150,bonsaiclubschio.it,443,2020-06-23 11:00:24.635
10,29464.4,20,109,13.135.86.156,p97hebfzd6DGA.com,3769,46.43.37.48,jenspends.com,80,2020-06-23 11:00:25.340
11,20315.8,14,130,114.196.98.211,adulttagrugby.co.za,443,57.209.44.38,intertrustgroup.com,80,2020-06-23 11:00:26.831
12,5613.4,4,140,208.81.255.39,019240.live,443,185.156.54.161,trachtenshop.de,80,2020-06-23 11:00:30.090
13,1804.6,2,6,83.35.155.191,hopitaldufutur.org,3642,240.28.44.208,gmatpill.com,443,2020-06-23 11:00:34.209
14,21688.8,15,56,204.78.122.122,goole.com,80,27.165.144.208,strechy-benesov.cz,3920,2020-06-23 11:00:35.696
15,13106.8,9,57,20.83.12.253,topsteelcommercial.com,80,32.249.138.83,imsproject.org,443,2020-06-23 11:00:36.660
16,13423.8,9,119,126.9.131.143,mycoursehelp.com,443,44.90.236.61,guestbookcentral.com,80,2020-06-23 11:00:38.376
17,6880.1,5,1,43.29.3.187,lowest-pricecialis-buy.net,443,21.217.84.104,supermen-124.ru,11997,2020-06-23 11:00:38.405
18,16547.2,12,42,99.130.248.7,pillcost.space,443,133.134.178.49,uniekbo.nl,80,2020-06-23 11:00:44.302
19,29855.6,20,132,58.14.191.194,under-armour-stock.us,443,231.203.210.166,tardigrad.website,80,2020-06-23 11:00:46.564
20,5922.6,4,108,218.251.214.210,maxxis.co.uk,80,24.63.62.185,modavracha.com,80,2020-06-23 11:00:48.221
21,18775.8,13,89,229.171.57.54,q7y7zcnikDGA.com,478,132.128.57.17,ismarttiger.com,80,2020-06-23 11:00:53.516
22,17615.3,12,131,185.104.138.123,austhrutime.com,80,30.107.69.174,jpn.org,8200,2020-06-23 11:00:57.120
23,8518.6,6,68,157.4.236.166,premierdevelopment.ru,443,99.119.133.210,iknowthat.com,443,2020-06-23 11:00:58.941
24,9925.4,7,63,58.14.191.194,under-armour-stock.us,80,36.130.98.158,alantay.com,443,2020-06-23 11:01:01.159
25,18127.8,13,97,175.176.130.14,wk-pharma.fr,443,236.187.223.73,nwipie.com,80,2020-06-23 11:01:01.169
26,25162.8,17,117,192.1.105.222,xpkpo.com.cn,443,158.252.188.224,041c4aoq1DGA.com,443,2020-06-23 11:01:01.872
27,14623.9,10,106,229.168.203.2,lecolonialsf.com,80,193.237.131.241,rivercruiseadvisor.com,443,2020-06-23 11:01:02.214
28,8475.4,6,7,165.110.63.147,cocoleni.com,443,89.69.59.130,mirf.ru,80,2020-06-23 11:01:02.897
29,13466.2,9,34,164.158.98.33,coin-hive.com,80,59.6.250.82,lifeofahomeschoolmom.com,443,2020-06-23 11:01:03.414
30,17816.2,12,37,54.152.214.180,inlandsbanan.se,3327,150.65.211.115,turkishclass.com,443,2020-06-23 11:01:04.607
31,10296.2,7,100,185.104.138.123,austhrutime.com,443,36.130.98.158,alantay.com,443,2020-06-23 11:01:11.502
32,6870.8,5,64,184.57.0.131,jagfn.com,540,61.62.217.31,supersentai.com,443,2020-06-23 11:01:15.949
33,20049.8,14,11,71.58.225.52,giipo.com,80,146.2.164.109,finto.fi,4501,2020-06-23 11:01:18.412
34,7026.9,5,12,21.37.37.55,diyhomeworld.com,4321,119.245.51.28,neslihanaltunsoy.com,3057,2020-06-23 11:01:22.711
35,23857.4,16,65,126.9.131.143,mycoursehelp.com,80,220.26.200.147,wesleystace.com,80,2020-06-23 11:01:29.006
36,17919.5,12,126,66.165.198.83,k2mezzbgDGA.com,80,251.28.50.174,mrdfood.com,443,2020-06-23 11:01:29.878
37,17209.6,12,129,54.133.151.123,gamestor.org,7741,249.145.67.126,hsn.com,443,2020-06-23 11:01:39.044
38,25415.5,17,16,157.208.129.123,yankeemagazine.com,443,204.78.122.122,goole.com,443,2020-06-23 11:01:44.369
39,26186.3,18,89,105.11.125.128,elebda3.com,80,225.114.216.213,truefoodnow.org,80,2020-06-23 11:01:45.652
40,10255.3,7,27,25.61.203.6,merrytomarry.ph,80,67.36.109.169,blablacar.nl,4065,2020-06-23 11:01:46.542
41,2892.5,2,22,222.126.9.211,podzamcze-dobczyce.pl,80,171.247.182.106,openmusictheory.com,443,2020-06-23 11:01:50.995
42,14882.9,10,101,235.190.221.190,shimizubank.co.jp,80,229.168.203.2,lecolonialsf.com,3168,2020-06-23 11:01:51.854
43,25280.9,17,65,63.222.208.213,theblockcrypto.com,80,193.237.131.241,rivercruiseadvisor.com,443,2020-06-23 11:01:52.706
44,25294.3,17,136,19.72.247.31,cyvdd.icu,443,207.248.65.88,xiaoying.tv,80,2020-06-23 11:01:53.879
45,3637.0,3,112,59.6.250.82,lifeofahomeschoolmom.com,443,123.202.110.30,jsltjl.cn,80,2020-06-23 11:01:55.634
46,17643.7,12,45,38.222.51.4,e5421.com,443,225.114.216.213,truefoodnow.org,80,2020-06-23 11:01:57.500
47,7183.7,5,68,105.11.125.128,elebda3.com,443,13.20.230.244,v8q3w80DGA.com,80,2020-06-23 11:01:58.564
48,20043.1,14,143,215.127.250.98,fbwbnx.com.cn,443,172.21.17.158,fesflowers.com,1833,2020-06-23 11:02:03.872
49,20353.3,14,40,28.81.69.0,billigekreditesuche.top,443,123.202.110.30,jsltjl.cn,80,2020-06-23 11:02:10.206
50,15560.6,11,75,204.78.122.122,goole.com,80,139.5.237.69,dperezphoto.com,32771,2020-06-23 11:02:11.919
51,11580.4,8,128,50.87.144.41,aladnet.com,443,49.196.11.53,meqxso.icu,2670,2020-06-23 11:02:12.004
52,19333.6,13,41,218.46.43.72,palominorv.com,80,113.229.210.127,nnedi.com,80,2020-06-23 11:02:15.017
53,8469.7,6,70,236.244.105.67,freedom-leisure.co.uk,80,227.76.125.52,bosshoss.com,443,2020-06-23 11:02:16.258
54,6899.7,5,85,130.91.71.147,np.edu,443,89.69.59.130,mirf.ru,80,2020-06-23 11:02:18.245
55,5991.5,4,82,180.73.52.79,beautyriot.com,3549,89.69.59.130,mirf.ru,80,2020-06-23 11:02:19.589
56,10027.5,7,67,155.193.63.242,adrc.com,3232,71.56.147.195,yourboulder.com,443,2020-06-23 11:02:20.494
57,1769.0,2,120,222.126.9.211,podzamcze-dobczyce.pl,443,83.246.59.217,acne.se,443,2020-06-23 11:02:20.779
58,18696.7,13,119,157.4.236.166,premierdevelopment.ru,10933,20.243.166.229,coreldrawchina.com,443,2020-06-23 11:02:23.026
59,20752.0,14,115,13.135.86.156,p97hebfzd6DGA.com,443,21.37.37.55,diyhomeworld.com,443,2020-06-23 11:02:26.992
60,25195.5,17,15,105.49.16.103,tarimorman.gov.tr,443,43.29.3.187,lowest-pricecialis-buy.net,443,2020-06-23 11:02:28.631
61,8679.0,6,17,204.78.122.122,goole.com,443,113.229.210.127,nnedi.com,80,2020-06-23 11:02:30.618
62,24838.8,17,13,93.83.18.110,whentogo.com,80,227.76.125.52,bosshoss.com,6568,2020-06-23 11:02:31.760
63,2013.6,2,94,240.215.191.113,toscanafantastica.com,80,40.8.33.40,bupa.com,80,2020-06-23 11:02:40.425
64,7266.2,5,35,44.90.236.61,guestbookcentral.com,80,193.58.73.163,sexandthewhitecity.com,80,2020-06-23 11:02:42.394
65,10353.4,7,66,192.1.105.222,xpkpo.com.cn,443,148.35.167.230,redbarrelsgames.com,80,2020-06-23 11:02:47.329
66,27875.4,19,137,139.5.237.69,dperezphoto.com,443,169.217.184.142,nhomkinhhoangphat.com,80,2020-06-23 11:02:49.208
67,23343.0,16,94,75.52.97.184,wotsit.org,3498,180.73.52.79,beautyriot.com,80,2020-06-23 11:02:49.999
68,23013.8,16,118,92.233.209.10,saros-center.ru,443,107.34.85.240,braztoa.com.br,443,2020-06-23 11:02:51.692
69,22519.9,16,121,8.241.191.172,couponpal.com,80,91.151.67.91,richfieldmn.gov,443,2020-06-23 11:02:52.034
70,24497.5,17,86,255.184.21.184,hillspet.de,80,116.54.43.230,franklincountyauditor.com,80,2020-06-23 11:02:58.414
71,24059.7,17,18,229.226.161.234,networkofcare.org,1254,47.230.88.127,short.pub,80,2020-06-23 11:02:58.510
72,3267.7,3,66,207.157.159.71,suvbvk.icu,443,57.173.215.83,prajasakti.com,478,2020-06-23 11:03:02.245
73,5900.1,4,30,8.241.191.172,couponpal.com,80,255.184.21.184,hillspet.de,80,2020-06-23 11:03:02.605
74,6383.4,5,24,121.187.74.8,potus.com,80,61.149.48.230,cntronics.com,80,2020-06-23 11:03:15.173
75,2415.3,2,19,71.58.225.52,giipo.com,80,136.86.58.8,3vj0eDGA.com,80,2020-06-23 11:03:15.808
76,19471.0,13,93,137.148.101.202,iwnsvg.com,3353,208.81.255.39,019240.live,443,2020-06-23 11:03:15.869
77,14178.0,10,37,13.135.86.156,p97hebfzd6DGA.com,443,123.135.198.60,2000888.com,80,2020-06-23 11:03:16.457
78,20064.2,14,140,215.127.250.98,fbwbnx.com.cn,4569,23.248.178.38,infonews.com,443,2020-06-23 11:03:16.861
79,8904.7,6,112,29.79.14.221,espacoacademico.com.br,80,5.42.23.220,voyance-telephone-gratuite.com,80,2020-06-23 11:03:19.527
80,19713.5,14,102,145.195.220.213,dudescience.net,443,36.130.98.158,alantay.com,443,2020-06-23 11:03:23.189
81,2856.2,2,24,248.19.227.120,articlecity.com,80,228.244.126.104,humanrightsnepal.org,80,2020-06-23 11:03:31.554
82,18875.8,13,79,164.158.98.33,coin-hive.com,443,67.36.109.169,blablacar.nl,18241,2020-06-23 11:03:31.688
83,12224.0,9,10,17.53.197.234,oz.au,80,178.129.43.219,ecomexi.com.mx,80,2020-06-23 11:03:32.086
84,15640.8,11,138,8.241.191.172,couponpal.com,443,71.58.225.52,giipo.com,443,2020-06-23 11:03:34.223
85,9269.7,7,38,192.1.105.222,xpkpo.com.cn,443,123.35.166.98,51miaofang.com,80,2020-06-23 11:03:34.384
86,7370.4,5,16,159.161.11.31,cashadvanceccet.com,3656,130.91.71.147,np.edu,5786,2020-06-23 11:03:36.097
87,14069.7,10,77,123.202.110.30,jsltjl.cn,80,113.125.127.172,ntrajx.cn,80,2020-06-23 11:03:37.486
88,25629.4,18,73,55.148.30.241,markbittman.com,443,57.209.44.38,intertrustgroup.com,80,2020-06-23 11:03:40.382
89,21871.2,15,119,130.81.207.36,auchan.ua,80,123.135.198.60,2000888.com,443,2020-06-23 11:03:40.677
90,23722.3,16,70,205.50.200.106,noninewage.com,443,19.72.247.31,cyvdd.icu,9284,2020-06-23 11:03:43.608
