,bytes,packets,protocol,sourceIP,Destination IP,timestamp
0,2261.4,2,49,11.247.76.21,204.139.158.5,2020-06-23 11:00:03.897
1,8518.6,6,20,127.60.11.104,32.165.11.86,2020-06-23 11:00:03.994
2,6917.2,5,17,88.151.7.169,160.195.89.27,2020-06-23 11:00:05.571
3,21876.8,15,107,75.210.252.180,73.91.160.20,2020-06-23 11:00:08.494
4,2205.8,2,138,221.81.52.180,63.59.188.12,2020-06-23 11:00:17.908
5,24844.6,17,113,79.56.172.2,179.29.201.198,2020-06-23 11:00:18.266
6,26458.0,18,4,219.145.24.69,217.180.175.106,2020-06-23 11:00:22.082
7,14741.7,10,123,55.220.204.32,239.174.182.194,2020-06-23 11:00:25.805
8,29616.9,20,64,149.111.234.160,125.5.129.48,2020-06-23 11:00:29.139
9,24446.6,17,90,88.9.255.233,101.38.100.119,2020-06-23 11:00:33.246
10,3601.3,3,121,19.207.29.150,112.170.111.198,2020-06-23 11:00:34.057
11,13405.3,9,12,239.65.241.248,207.96.70.230,2020-06-23 11:00:36.372
12,14714.2,10,99,188.69.20.205,104.152.69.243,2020-06-23 11:00:44.872
13,6649.9,5,61,74.130.27.27,41.172.60.46,2020-06-23 11:00:45.047
14,18303.9,13,103,155.95.17.61,39.104.73.162,2020-06-23 11:00:45.153
15,14052.3,10,44,99.73.117.129,146.85.229.211,2020-06-23 11:00:46.378
16,19971.8,14,123,110.135.184.69,47.6.26.99,2020-06-23 11:00:48.731
17,9948.2,7,85,100.108.34.99,170.253.178.165,2020-06-23 11:00:48.980
18,14118.3,10,131,32.93.101.229,75.188.152.52,2020-06-23 11:00:57.671
19,4590.8,4,85,162.143.250.226,250.171.132.162,2020-06-23 11:00:59.605
20,17160.0,12,124,254.124.115.133,242.44.128.224,2020-06-23 11:01:04.244
21,25645.7,18,56,41.132.189.103,174.175.117.191,2020-06-23 11:01:05.160
22,10391.0,7,114,5.14.215.126,142.114.46.237,2020-06-23 11:01:05.665
23,12931.1,9,80,27.109.44.150,102.252.212.78,2020-06-23 11:01:07.665
24,9234.9,7,62,126.63.152.140,178.137.107.155,2020-06-23 11:01:13.513
25,7170.6,5,68,254.225.158.154,195.153.150.77,2020-06-23 11:01:17.850
26,22072.6,15,22,228.106.238.0,134.205.5.166,2020-06-23 11:01:18.267
27,4759.2,4,84,166.153.41.230,209.144.126.153,2020-06-23 11:01:18.328
28,3097.7,3,117,108.230.146.21,163.47.0.226,2020-06-23 11:01:24.081
29,5267.9,4,58,107.236.126.194,94.161.159.31,2020-06-23 11:01:26.118
30,22136.9,15,63,24.179.59.158,251.68.35.217,2020-06-23 11:01:26.255
31,3042.7,3,71,167.146.65.209,249.14.133.241,2020-06-23 11:01:27.267
32,6478.1,5,60,190.163.60.29,134.232.40.32,2020-06-23 11:01:31.473
33,19305.7,13,133,41.192.227.99,80.72.67.165,2020-06-23 11:01:37.631
34,2189.6,2,89,62.211.104.14,70.62.52.58,2020-06-23 11:01:39.048
35,4747.6,4,73,66.134.71.244,193.214.28.145,2020-06-23 11:01:40.726
36,9925.7,7,52,224.209.30.67,88.25.246.210,2020-06-23 11:01:46.538
37,12564.6,9,46,116.60.147.168,215.253.123.176,2020-06-23 11:01:50.509
38,19049.3,13,45,2.53.65.213,53.49.12.172,2020-06-23 11:01:55.818
39,6507.5,5,16,201.216.108.201,193.55.65.14,2020-06-23 11:01:59.013
40,1784.2,2,15,140.41.140.195,237.251.142.89,2020-06-23 11:02:00.970
41,24432.1,17,82,209.132.39.97,20.222.197.143,2020-06-23 11:02:01.424
42,19282.8,13,5,146.19.207.68,25.163.246.2,2020-06-23 11:02:03.278
43,8421.8,6,67,226.132.144.103,216.83.123.187,2020-06-23 11:02:03.530
44,7302.3,5,127,147.80.26.71,202.255.151.144,2020-06-23 11:02:06.181
45,11940.4,8,97,203.202.120.231,189.235.154.143,2020-06-23 11:02:07.009
46,28350.8,19,22,90.11.129.110,218.188.137.195,2020-06-23 11:02:14.213
47,17705.0,12,59,173.92.241.249,74.215.68.173,2020-06-23 11:02:15.190
48,20021.5,14,116,85.5.167.229,138.45.13.8,2020-06-23 11:02:21.465
49,26893.1,18,101,172.30.178.71,237.179.60.190,2020-06-23 11:02:23.794
50,13665.7,10,37,77.25.166.112,46.184.96.102,2020-06-23 11:02:35.226
51,20011.7,14,74,205.140.35.181,93.195.119.174,2020-06-23 11:02:41.559
52,3717.3,3,14,23.28.113.108,43.114.92.134,2020-06-23 11:02:44.988
53,13722.8,10,129,22.181.255.224,242.45.19.10,2020-06-23 11:02:45.542
54,27157.7,19,12,78.42.137.236,82.185.202.53,2020-06-23 11:02:48.412
55,7297.2,5,63,71.18.61.171,153.136.158.51,2020-06-23 11:02:49.407
56,6880.5,5,74,122.44.165.67,205.189.234.204,2020-06-23 11:02:50.689
57,5312.6,4,134,212.126.113.201,251.213.165.45,2020-06-23 11:02:52.365
58,3639.7,3,92,154.223.185.241,51.130.67.1,2020-06-23 11:02:55.181
59,14983.3,10,71,126.75.19.162,16.225.24.191,2020-06-23 11:02:56.374
60,24567.2,17,37,1.151.250.104,227.173.96.152,2020-06-23 11:03:02.267
61,4932.1,4,71,88.121.0.193,188.206.198.85,2020-06-23 11:03:05.132
62,2110.1,2,123,213.175.240.136,40.253.142.123,2020-06-23 11:03:10.274
63,24582.8,17,3,57.41.14.213,165.75.49.174,2020-06-23 11:03:11.762
64,21150.8,15,138,213.202.143.83,142.200.119.18,2020-06-23 11:03:12.628
65,6525.1,5,82,14.114.152.249,37.215.130.181,2020-06-23 11:03:15.935
66,11812.6,8,36,144.8.236.156,226.32.179.172,2020-06-23 11:03:15.968
67,11155.9,8,12,94.91.45.32,194.233.151.228,2020-06-23 11:03:26.179
68,9621.8,7,37,199.203.33.93,176.85.14.71,2020-06-23 11:03:26.753
69,28179.4,19,100,99.175.95.30,52.204.138.40,2020-06-23 11:03:27.764
70,2830.4,2,137,23.211.154.91,244.89.21.238,2020-06-23 11:03:29.802
71,20852.6,14,63,84.132.136.148,251.35.15.185,2020-06-23 11:03:30.201
72,17386.3,12,105,147.237.190.230,58.239.169.127,2020-06-23 11:03:40.424
73,17289.8,12,63,108.239.80.197,76.79.25.207,2020-06-23 11:03:44.863
74,29818.4,20,48,68.251.233.67,227.45.248.251,2020-06-23 11:03:46.263
75,2028.8,2,38,46.111.98.241,164.206.60.37,2020-06-23 11:03:46.666
76,22191.2,15,112,177.37.91.241,77.237.20.114,2020-06-23 11:03:53.300
77,5141.5,4,1,38.223.41.242,140.48.206.73,2020-06-23 11:03:54.201
78,14224.4,10,31,231.21.82.166,174.57.22.90,2020-06-23 11:03:56.177
79,18714.8,13,81,129.228.101.24,52.57.173.64,2020-06-23 11:03:57.718
80,26011.4,18,8,234.138.56.98,173.30.176.26,2020-06-23 11:04:01.042
81,26296.5,18,14,216.76.126.248,17.223.7.134,2020-06-23 11:04:01.220
82,12484.2,9,94,210.32.196.134,220.231.100.0,2020-06-23 11:04:01.968
83,15418.1,11,61,190.249.163.233,125.60.181.232,2020-06-23 11:04:09.771
84,12256.2,9,87,98.12.19.140,1.124.78.173,2020-06-23 11:04:09.929
85,19194.0,13,32,74.201.53.123,110.141.189.194,2020-06-23 11:04:12.914
86,16454.9,11,128,102.56.197.189,50.199.121.232,2020-06-23 11:04:16.359
87,15494.6,11,135,47.136.174.19,45.177.234.173,2020-06-23 11:04:22.225
88,5423.0,4,109,213.61.111.86,216.210.147.7,2020-06-23 11:04:26.906
89,8143.7,6,88,112.151.221.174,85.119.192.67,2020-06-23 11:04:26.958
90,24652.4,17,96,109.210.16.15,220.129.83.105,2020-06-23 11:04:27.388
91,6824.2,5,9,137.244.214.192,37.219.67.57,2020-06-23 11:04:30.776
92,17235.7,12,42,119.118.139.139,202.98.198.152,2020-06-23 11:04:37.548
93,5816.1,4,128,94.130.55.98,205.236.177.149,2020-06-23 11:04:47.045
94,26631.3,18,35,18.96.241.72,186.12.218.150,2020-06-23 11:04:48.453
95,17255.5,12,103,99.185.92.71,66.114.31.143,2020-06-23 11:04:51.039
96,18830.6,13,75,192.106.161.145,45.189.79.253,2020-06-23 11:04:51.981
97,12614.6,9,103,131.133.84.240,57.196.38.179,2020-06-23 11:04:52.542
98,18766.6,13,51,58.126.195.67,50.58.236.37,2020-06-23 11:04:53.673
99,29721.4,20,106,99.94.93.244,221.103.60.75,2020-06-23 11:04:55.143
100,18781.8,13,8,28.248.191.117,68.223.117.203,2020-06-23 11:05:07.065
101,22901.0,16,58,179.120.78.2,86.90.214.213,2020-06-23 11:05:08.846
102,21152.7,15,9,138.156.128.4,50.20.114.75,2020-06-23 11:05:10.499
103,26330.0,18,141,160.212.159.77,206.38.215.96,2020-06-23 11:05:11.701
104,3474.5,3,94,111.231.71.163,242.242.197.244,2020-06-23 11:05:14.834
105,15045.0,11,7,48.58.99.26,80.243.228.216,2020-06-23 11:05:20.764
106,16730.8,12,72,136.138.106.84,30.86.195.69,2020-06-23 11:05:22.186
107,3753.4,3,140,18.248.116.214,216.217.69.159,2020-06-23 11:05:22.642
108,29888.0,20,88,38.168.22.192,82.111.183.93,2020-06-23 11:05:24.241
109,10231.5,7,11,32.49.34.132,199.155.8.51,2020-06-23 11:05:26.606
110,20818.6,14,49,56.50.42.88,23.154.92.64,2020-06-23 11:05:32.488
111,8425.4,6,15,57.252.197.100,181.14.49.168,2020-06-23 11:05:32.516
112,13924.1,10,53,235.52.204.118,146.171.193.185,2020-06-23 11:05:36.538
113,24669.9,17,92,143.118.8.187,95.211.226.232,2020-06-23 11:05:37.480
114,28920.1,20,103,75.147.22.118,99.189.220.40,2020-06-23 11:05:39.403
115,16344.3,11,103,56.82.164.135,95.4.17.20,2020-06-23 11:05:43.697
116,25294.7,17,19,115.182.142.86,181.51.152.144,2020-06-23 11:05:45.731
117,22016.1,15,59,183.89.209.86,217.13.252.180,2020-06-23 11:05:48.694
118,23544.1,16,79,248.191.186.36,18.69.216.91,2020-06-23 11:05:49.434
119,1937.5,2,35,19.207.29.150,51.43.112.89,2020-06-23 11:05:52.110
120,24156.9,17,83,157.71.59.143,146.5.123.71,2020-06-23 11:06:00.634
121,12925.7,9,14,37.1.209.232,180.148.112.32,2020-06-23 11:06:05.230
122,29796.8,20,97,125.48.117.160,128.197.240.90,2020-06-23 11:06:06.206
123,1920.5,2,76,27.35.114.35,7.81.36.210,2020-06-23 11:06:08.382
124,5835.0,4,53,177.3.233.221,183.118.88.93,2020-06-23 11:06:11.679
125,3496.8,3,14,94.182.218.185,219.68.77.95,2020-06-23 11:06:12.653
126,19737.4,14,58,80.134.50.29,45.56.112.133,2020-06-23 11:06:18.668
127,28668.9,20,88,180.215.132.1,135.38.249.55,2020-06-23 11:06:19.635
128,18469.9,13,93,53.139.146.113,228.153.148.159,2020-06-23 11:06:21.899
129,5973.0,4,133,176.252.251.89,101.38.100.119,2020-06-23 11:06:22.385
130,15623.4,11,73,10.252.195.142,39.9.109.162,2020-06-23 11:06:28.452
131,27511.3,19,118,31.251.219.110,222.42.67.155,2020-06-23 11:06:34.696
132,27434.3,19,111,176.229.86.186,33.114.131.74,2020-06-23 11:06:41.287
133,27237.9,19,79,127.241.101.149,228.150.6.134,2020-06-23 11:06:43.009
134,18489.0,13,25,20.95.59.14,55.35.108.104,2020-06-23 11:06:49.563
135,6096.6,5,118,51.204.238.114,53.161.232.216,2020-06-23 11:06:51.466
136,15916.5,11,12,42.167.229.201,130.104.166.213,2020-06-23 11:06:51.668
137,7897.8,6,76,123.71.27.26,40.193.54.55,2020-06-23 11:06:53.277
138,4415.4,3,41,150.10.201.119,166.43.233.82,2020-06-23 11:06:53.448
139,13528.7,10,66,158.72.249.234,73.91.160.20,2020-06-23 11:06:54.483
140,4271.5,3,142,47.199.180.225,41.231.177.120,2020-06-23 11:07:04.352
141,18762.8,13,34,9.215.41.202,103.194.81.92,2020-06-23 11:07:05.184
142,21130.6,15,10,227.104.20.18,156.64.33.10,2020-06-23 11:07:08.548
143,6305.0,5,112,242.248.15.205,11.206.46.70,2020-06-23 11:07:09.046
144,17910.1,12,39,57.41.14.213,61.33.123.48,2020-06-23 11:07:18.790
145,20113.2,14,28,146.171.193.185,144.25.65.171,2020-06-23 11:07:19.613
146,26843.3,18,126,28.221.102.254,241.244.56.24,2020-06-23 11:07:20.126
147,15881.1,11,136,253.50.108.190,81.191.235.150,2020-06-23 11:07:25.856
148,7985.1,6,16,127.182.25.68,77.58.206.49,2020-06-23 11:07:26.510
149,22858.9,16,122,184.189.16.239,195.75.8.25,2020-06-23 11:07:34.506
