,bytes,packets,protocol,sourceIP,Destination IP,timestamp
0,5083.8,4,39,17.30.10.63,207.154.241.18,23/06/2020 11:00:01.929
1,7746.0,6,24,117.75.31.227,14.10.100.243,23/06/2020 11:00:07.629
2,22448.1,15,15,99.164.233.210,210.250.132.36,23/06/2020 11:00:09.491
3,21587.2,15,71,5.131.18.115,92.0.195.106,23/06/2020 11:00:14.118
4,1521.3,2,94,133.6.97.181,61.218.104.79,23/06/2020 11:00:14.183
5,16590.1,12,108,68.162.88.105,188.92.32.31,23/06/2020 11:00:15.733
6,7471.5,5,118,232.247.19.142,20.87.162.15,23/06/2020 11:00:16.955
7,16153.9,11,49,197.68.7.118,104.192.155.115,23/06/2020 11:00:17.020
8,21184.9,15,52,14.10.100.243,133.6.97.181,23/06/2020 11:00:19.087
9,9178.9,7,56,162.47.42.5,135.212.155.161,23/06/2020 11:00:25.752
10,18287.8,13,69,119.251.127.31,117.200.229.211,23/06/2020 11:00:26.130
11,21947.1,15,128,61.223.103.109,253.33.218.82,23/06/2020 11:00:26.318
12,10836.7,8,113,53.210.106.172,181.186.159.214,23/06/2020 11:00:32.762
13,7178.3,5,3,18.61.83.207,225.169.29.28,23/06/2020 11:00:33.370
14,18804.6,13,43,70.159.11.91,96.214.68.75,23/06/2020 11:00:34.285
15,3992.4,3,68,207.154.241.18,26.90.225.225,23/06/2020 11:00:38.782
16,2692.2,2,32,206.193.219.233,123.251.76.200,23/06/2020 11:00:39.484
17,23932.0,16,98,243.116.233.38,0.52.80.132,23/06/2020 11:00:41.961
18,24735.8,17,27,249.235.45.130,61.218.104.79,23/06/2020 11:00:42.782
19,28243.6,19,95,162.5.231.172,232.247.19.142,23/06/2020 11:00:58.359
20,16091.7,11,60,138.201.175.201,124.103.27.6,23/06/2020 11:01:01.139
21,24215.7,17,44,162.5.231.172,146.201.140.212,23/06/2020 11:01:02.168
22,24334.5,17,51,18.61.83.207,92.143.53.124,23/06/2020 11:01:05.018
23,13717.5,10,47,210.250.132.36,92.0.195.106,23/06/2020 11:01:12.242
24,10531.9,8,127,117.200.229.211,188.92.32.31,23/06/2020 11:01:13.958
25,16518.4,12,32,61.147.76.157,50.90.73.233,23/06/2020 11:01:14.260
26,14298.8,10,128,61.147.76.157,86.208.209.198,23/06/2020 11:01:14.440
27,13324.5,9,60,206.193.219.233,117.200.229.211,23/06/2020 11:01:17.962
28,19228.8,13,105,191.128.220.22,14.10.100.243,23/06/2020 11:01:20.095
29,26677.7,18,60,175.140.77.98,117.200.229.211,23/06/2020 11:01:25.534
